 X,Y,Z,T,T_a
0.0002,0.01,0.0,293.0,293.0000000000001
0.0003,0.0,0.0,293.0,293.0
0.0003,0.0001,0.0,309.396,309.36038154571264
0.0003,0.0002,0.0,322.912,322.89423122831295
0.0003,0.0003,0.0,332.922,332.9212162660172
0.0003,0.0004,0.0,340.119,340.12163688491415
0.0003,0.0005,0.0,345.344,345.3451378843317
0.0003,0.0006,0.0,349.228,349.22861422719035
0.0003,0.0007,0.0,352.195,352.1944412087674
0.0003,0.0008,0.0,354.518,354.51667234557135
0.0003,0.0009,0.0,356.377,356.3752605747777
0.0003,0.001,0.0,357.893,357.89112796206075
0.0003,0.0011,0.0,359.15,359.14764569650276
0.0003,0.0012,0.0,360.206,360.2037543595786
0.0003,0.0013,0.0,361.105,361.10210340103623
0.0003,0.0014,0.0,361.877,361.8742127682264
0.0003,0.0015,0.0,362.547,362.54382431373136
0.0003,0.0016,0.0,363.132,363.12912894865303
0.0003,0.0017,0.0,363.648,363.64427958094865
0.0003,0.0018,0.0,364.104,364.1004401104393
0.0003,0.0019,0.0,364.51,364.5065265935128
0.0003,0.002,0.0,364.873,364.8697400599011
0.0003,0.0021,0.0,365.2,365.19595568447625
0.0003,0.0022,0.0,365.494,365.490011214489
0.0003,0.0023,0.0,365.76,365.75592361353154
0.0003,0.0024,0.0,366.001,365.9970538041609
0.0003,0.0025,0.0,366.22,366.21623337277657
0.0003,0.0026,0.0,366.42,366.4158630450306
0.0003,0.0027,0.0,366.602,366.59798996524637
0.0003,0.0028,0.0,366.769,366.7643688872625
0.0003,0.0029,0.0,366.921,366.9165110291589
0.0003,0.003,0.0,367.06,367.0557233790755
0.0003,0.0031,0.0,367.188,367.1831405435919
0.0003,0.0032,0.0,367.304,367.29975072307695
0.0003,0.0033,0.0,367.411,367.4064170250213
0.0003,0.0034,0.0,367.508,367.50389504869884
0.0003,0.0035,0.0,367.597,367.5928474661042
0.0003,0.0036,0.0,367.679,367.67385616633135
0.0003,0.0037,0.0,367.752,367.7474324100922
0.0003,0.0038,0.0,367.819,367.8140253483751
0.0003,0.0039,0.0,367.879,367.8740291873457
0.0003,0.004,0.0,367.933,367.9277892254157
0.0003,0.0041,0.0,367.98,367.9756069441928
0.0003,0.0042,0.0,368.023,368.0177442999528
0.0003,0.0043,0.0,368.059,368.054427334255
0.0003,0.0044,0.0,368.091,368.08584919974464
0.0003,0.0045,0.0,368.117,368.11217267883586
0.0003,0.0046,0.0,368.138,368.1335322579088
0.0003,0.0047,0.0,368.155,368.15003580713926
0.0003,0.0048,0.0,368.167,368.16176590555267
0.0003,0.0049,0.0,368.174,368.16878084187454
0.0003,0.005,0.0,368.176,368.17111531387667
0.0003,0.0051,0.0,368.174,368.16878084187454
0.0003,0.0052,0.0,368.167,368.1617659055526
0.0003,0.0053,0.0,368.155,368.15003580713926
0.0003,0.0054,0.0,368.138,368.13353225790877
0.0003,0.0055,0.0,368.117,368.1121726788359
0.0003,0.0056,0.0,368.091,368.08584919974464
0.0003,0.0057,0.0,368.059,368.0544273342551
0.0003,0.0058,0.0,368.023,368.0177442999528
0.0003,0.0059,0.0,367.98,367.97560694419286
0.0003,0.006,0.0,367.933,367.9277892254157
0.0003,0.0061,0.0,367.879,367.87402918734574
